component,props,description
TotalSavingsWidget,"","This component shows the customer: 1.How much money they've saved using the quolum application 2. How many duplicate (apps that serve the same purpose, but organization pays for both) SaaS apps that Quolum has detected for them 3. Number of Invoices processed by Quolum for the customer and number of contracts negotiated by the cutomer for the customer"
Notifications,"category, searchString","This component shows the customer all their notifications in a list. Some of the actions that the users get notifications categorised by the category are: 1. APPS: invitation to connect an app, Details about expired app connections 2. CARDS: notifications about card transaction limit being reached, notifications about new cards created, invitations to create cards, notifications about active cards against deactivated users. 3. DOCUMENTS: invoice due reminders, custom invoice reminders, notifications about contracts expiring
4. SPEND: notifications about user spend
5. PEOPLE: notifications about new accounts. searchString is used to filter notifications by their headings and descriptions."
Top5ByCategory,category,"This component shows the customer, the top 5 categories of apps they spend on, or the top 5 categories of apps by the number of apps, or the top 5 category of apps by how much efficient use they get out of the apps.
This component accepts one prop: category. the category prop can take either of the three values 1.APP 2. SPEND 3. QScore
'APP' is used to get the top 5 categories of apps by the number of apps
'SPEND' is used to get the top 5 categories of apps they spend on
'UTILIZATION' is used to get the top 5 categories of apps by the number of apps, or the top 5 category of apps by how much efficient use they get out of the apps"
DocumentsList,"searchString, status, reminders, documentType","This component shows the user their documents, documentType can either be 'INVOICES' or 'RECEIPTS'. reminders is a boolean, it's either true or false. status can either be 'DUE', 'PAID', 'PROCESSING' or 'OVERDUE'. searchString is used to search the documents by the SaaS product name, or the documentName"
SpendAndUtilizationGraph,"","This component shows users the trend of how much they're spending per month and how much use they are getting out of quolum as a line graph"
DataVisualization,"data, type","This component visualizes data in different chart types based on the provided data and type prop. The data prop should contain an array of data points, and the type prop specifies the type of chart to be rendered, such as bar chart, line chart, pie chart, or scatter plot."
FormInput,"label, type, placeholder","This component renders an input field in a form, allowing users to enter data. The label prop specifies the label of the input field, the type prop specifies the type of input (e.g., text, number, email, password, etc.), and the placeholder prop provides a placeholder text to guide users on what to enter."
ImageSlider,"images, autoplay, interval","This component displays a slideshow of images in a carousel format. The images prop should contain an array of image URLs, the autoplay prop specifies whether the slideshow should autoplay, and the interval prop sets the time duration between each slide transition."
DropdownMenu,"options, selectedOption","This component renders a dropdown menu with a list of options to choose from. The options prop should contain an array of options, and the selectedOption prop specifies the currently selected option. Users can select an option from the dropdown menu, and the selected option can be used for further actions or data manipulation."
ConfirmationModal,"title, message, onConfirm, onCancel","This component displays a modal dialog box with a title, a message, and buttons for confirmation and cancellation. The title prop specifies the title of the modal, the message prop provides a message or description, the onConfirm prop is a callback function to be executed when the user confirms, and the onCancel prop is a callback function to be executed when the user cancels the action."
MultiStepForm,"steps, onSubmit","This component renders a multi-step form with multiple steps or sections. The steps prop should contain an array of steps, each with its own set of input fields or components. The onSubmit prop is a callback function to be executed when the user submits the form after completing all the steps."
